Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS)
Create cars,1000,0,19.7,4.08,0.22,1.51,19.2
Query cars,1000,0,159.5,0.37,0.01,0.12,158.3
Create cars,10000,0,21.6,10.52,0.33,4.77,21.5
Query cars,10000,0,207.9,1.14,0.01,0.41,207.8
Create cars,5000,0,20.4,11.83,0.19,5.33,20.3
Query cars,5000,0,177.0,0.89,0.01,0.22,176.4
Create cars,2000,0,21.0,6.23,0.25,2.87,20.9
Query cars,2000,0,159.9,0.87,0.01,0.28,159.7
createCar round,1000,0,12.8,22.66,0.44,8.90,12.3
queryCar round,1000,0,140.9,1.30,0.01,0.43,140.4
queryCar round,5000,0,160.4,0.93,0.01,0.15,160.4
Create cars,1000,0,24.7,5.41,0.21,2.89,23.1
Query cars,1000,0,95.8,0.32,0.01,0.08,95.7
queryCar round,2000,0,61.0,0.99,0.01,0.14,60.9
Create cars,10000,0,22.0,9.56,0.21,4.74,21.8
Query cars,10000,0,99.4,0.66,0.01,0.07,99.3
createCar round,1000,0,14.1,3.48,0.17,1.86,13.7
createCar round,5000,0,18.5,13.55,0.32,3.54,18.4
createCar round,10000,0,19.0,5.33,0.23,1.77,18.9
createCar round,10000,0,12.9,15.36,0.24,2.66,12.8
Create cars,5000,0,17.8,5.27,0.29,1.85,17.6
Query cars,5000,0,128.3,0.84,0.01,0.21,128.2
queryCar round,10000,0,192.1,0.69,0.01,0.17,192.1
queryCar round,5000,0,193.2,0.99,0.01,0.30,193.1
createCar round,5000,0,15.8,8.72,0.30,4.28,15.6
Create cars,2000,0,21.3,3.54,0.17,1.64,21.2
Query cars,2000,0,93.8,0.53,0.01,0.07,93.7
Create cars,1000,0,21.2,5.75,0.23,2.72,20.2
Query cars,1000,0,157.8,0.73,0.01,0.23,157.5
queryCar round,10000,0,186.0,0.92,0.01,0.22,186.0
queryCar round,2000,0,145.5,0.80,0.01,0.19,145.4
createCar round,2000,0,11.0,21.47,0.84,7.05,10.8
queryCar round,1000,0,80.8,6.15,0.01,0.24,80.8
createCar round,1000,0,22.4,8.44,0.21,4.79,19.7
createCar round,5000,0,14.6,5.70,0.31,2.36,14.6
Create cars,5000,0,20.8,9.85,0.17,5.05,20.6
Query cars,5000,0,106.6,0.62,0.01,0.16,106.6
createCar round,10000,0,9.0,26.39,0.25,7.62,9.0
createCar round,2000,0,18.3,3.67,0.19,1.78,17.9
createCar round,5000,0,21.1,3.87,0.24,1.60,20.9
queryCar round,1000,0,66.7,0.73,0.01,0.13,66.6
Create cars,2000,0,23.1,5.58,0.19,3.08,22.4
Query cars,2000,0,99.9,0.39,0.01,0.07,99.8
queryCar round,10000,0,183.3,1.04,0.01,0.23,183.3
queryCar round,10000,0,170.4,0.59,0.01,0.15,170.3
createCar round,10000,0,16.3,7.09,0.28,2.19,16.2
Create cars,2000,0,19.5,4.03,0.18,1.66,19.3
Query cars,2000,0,153.5,0.59,0.01,0.13,153.3
createCar round,5000,0,14.7,18.14,0.34,4.60,14.6
queryCar round,5000,0,173.6,0.67,0.01,0.20,173.5
createCar round,2000,0,10.0,23.37,0.49,10.84,9.9
queryCar round,2000,0,171.0,1.20,0.01,0.43,170.8
createCar round,10000,0,17.2,13.41,0.30,5.87,17.1
Create cars,1000,0,20.1,5.44,0.20,2.98,19.3
Query cars,1000,0,142.3,0.69,0.01,0.27,141.7
createCar round,2000,0,18.3,12.99,0.34,6.02,17.5
queryCar round,2000,0,160.9,0.61,0.01,0.18,160.6
Create cars,10000,0,18.5,8.38,0.34,3.41,18.4
Query cars,10000,0,199.7,1.14,0.01,0.30,199.7
queryCar round,5000,0,92.3,0.59,0.01,0.08,92.3
queryCar round,5000,0,74.4,1.17,0.01,0.12,74.4
queryCar round,10000,0,62.4,1.75,0.01,0.17,62.4
Create cars,5000,0,21.0,9.21,0.26,4.89,20.7
Query cars,5000,0,155.1,1.67,0.01,0.53,154.7
Create cars,10000,0,21.6,6.62,0.36,3.12,21.5
Query cars,10000,0,97.0,0.58,0.01,0.07,97.0
Create cars,1000,0,17.3,4.30,0.21,1.93,17.3
Query cars,1000,0,101.5,0.47,0.01,0.13,101.3
queryCar round,1000,0,136.0,0.43,0.01,0.15,135.7
createCar round,1000,0,14.6,12.31,0.55,6.11,14.1
Create cars,2000,0,23.9,5.19,0.22,2.78,23.1
Query cars,2000,0,171.3,0.77,0.01,0.19,170.9
Create cars,10000,0,20.8,7.48,0.28,3.23,20.7
Query cars,10000,0,176.8,1.04,0.01,0.23,176.8
createCar round,2000,0,20.0,6.73,0.24,3.53,19.4
createCar round,1000,0,14.8,4.47,0.49,2.22,14.3
queryCar round,5000,0,71.6,1.15,0.01,0.12,71.4
queryCar round,2000,0,126.5,0.85,0.01,0.16,126.4
Create cars,10000,0,16.8,6.74,0.24,1.94,16.8
Query cars,10000,0,180.5,1.12,0.01,0.18,180.5
Create cars,5000,0,20.0,7.11,0.52,3.12,19.7
Query cars,5000,0,142.9,1.28,0.01,0.37,142.6
Create cars,2000,0,24.5,7.92,0.19,4.26,23.8
Query cars,2000,0,174.4,1.08,0.01,0.23,172.7
queryCar round,1000,0,134.6,0.56,0.01,0.20,134.4
createCar round,1000,0,17.6,8.74,0.31,3.29,17.3
Create cars,2000,0,24.0,8.90,0.18,4.28,22.8
Query cars,2000,0,99.1,0.43,0.01,0.06,99.1
queryCar round,1000,0,70.1,0.49,0.01,0.08,70.0
queryCar round,10000,0,201.2,0.87,0.01,0.28,201.1
createCar round,2000,0,14.1,5.08,0.54,2.27,14.0
createCar round,10000,0,15.3,16.12,0.19,6.56,15.2
queryCar round,1000,0,86.3,0.76,0.01,0.14,86.2
createCar round,5000,0,10.8,18.55,0.88,8.71,10.7
queryCar round,5000,0,179.1,0.87,0.01,0.22,179.1
Create cars,1000,0,20.4,9.20,0.27,3.64,20.2
Query cars,1000,0,159.8,1.08,0.01,0.39,159.5
Create cars,2000,0,20.1,3.44,0.24,1.65,19.7
Query cars,2000,0,174.2,0.48,0.01,0.16,173.9
createCar round,10000,0,11.6,37.12,0.28,6.68,11.6
createCar round,2000,0,9.4,15.43,1.24,6.72,9.3
queryCar round,2000,0,156.1,1.05,0.01,0.32,155.8
Create cars,5000,0,19.3,4.32,0.18,1.84,19.2
Query cars,5000,0,110.4,0.58,0.01,0.19,109.9
queryCar round,10000,0,79.3,1.03,0.01,0.11,79.3
queryCar round,5000,0,186.3,1.19,0.01,0.42,186.2
createCar round,5000,0,15.3,12.53,0.25,6.64,15.2
queryCar round,2000,0,156.7,0.81,0.01,0.20,156.1
Create cars,5000,0,18.7,4.34,0.18,1.79,18.6
Query cars,5000,0,166.4,0.53,0.01,0.15,166.3
createCar round,2000,0,19.0,6.17,0.35,3.26,18.7
queryCar round,10000,0,196.3,1.73,0.01,0.41,196.2
Create cars,1000,0,25.4,7.87,0.21,4.86,23.5
Query cars,1000,0,159.1,1.28,0.01,0.31,158.8
createCar round,10000,0,14.8,14.88,0.21,4.46,14.7
createCar round,1000,0,21.4,6.39,0.28,3.32,20.1
queryCar round,1000,0,75.4,1.32,0.01,0.36,75.3
Create cars,5000,0,20.2,6.76,0.55,3.36,20.0
Query cars,5000,0,96.1,0.42,0.01,0.06,96.0
createCar round,10000,0,17.8,14.16,0.30,3.59,17.7
Create cars,10000,0,20.7,4.67,0.22,1.68,20.6
Query cars,10000,0,116.9,0.68,0.01,0.19,116.8
queryCar round,10000,0,59.3,1.77,0.01,0.22,59.3
createCar round,5000,0,13.4,18.52,0.17,2.87,13.3
createCar round,2000,0,18.2,4.92,0.15,1.97,17.8
Create cars,10000,0,19.8,4.67,0.18,1.70,19.7
Query cars,10000,0,164.1,0.71,0.01,0.17,164.1
Create cars,4999,1,19.5,7.65,0.24,3.18,19.3
Query cars,5000,0,156.2,1.12,0.01,0.37,156.0
Create cars,10000,0,20.6,11.97,0.25,4.82,20.5
Query cars,10000,0,189.3,0.96,0.01,0.23,189.3
createCar round,1000,0,8.3,12.80,0.78,7.32,8.1
queryCar round,1000,0,142.5,1.11,0.01,0.35,141.9
Create cars,1000,0,19.4,3.50,0.28,1.62,18.6
Query cars,1000,0,158.0,0.37,0.01,0.15,157.1
Create cars,2000,0,21.8,9.23,0.23,4.06,21.2
Query cars,2000,0,180.0,1.26,0.01,0.41,179.8
queryCar round,2000,0,63.4,0.97,0.01,0.14,63.4
Create cars,1000,0,23.3,7.97,0.22,4.26,22.1
Query cars,1000,0,98.8,0.38,0.01,0.09,98.2
queryCar round,5000,0,176.4,0.71,0.01,0.18,176.3
queryCar round,2000,0,95.5,0.61,0.01,0.17,95.4
createCar round,1000,0,14.3,4.59,0.32,2.10,14.0
createCar round,5000,0,17.1,11.68,0.24,6.05,16.9
